gbrmpa_region,fullreef_id,report_year,AIMS_reef_name,,Sample_Type,Disturbance_Type,Rank,Depth
Southern,21305S,2017,East Cay,,MANTA,none,1,9
Southern,21305S,2018,East Cay,,MANTA,none,1,9
Southern,21305S,2021,East Cay,,MANTA,none,1,9
Southern,21305S,2022,East Cay,,MANTA,none,1,9
Southern,21305S,2023,East Cay,,MANTA,cots,1,
Southern,22104S,2017,Horseshoe Reef,,MANTA,none,1,9
Southern,22104S,2018,Horseshoe Reef,,MANTA,cots,1,9
Southern,22104S,2021,Horseshoe Reef,,MANTA,none,1,9
Southern,22104S,2022,Horseshoe Reef,,MANTA,none,1,9
Southern,22104S,2023,Horseshoe Reef,,MANTA,cots,1,
Southern,21558S,2018,Reef 21-558,,MANTA,none,1,9
Southern,21558S,2021,Reef 21-558,,MANTA,cots,1,9
Southern,21558S,2023,Reef 21-558,,MANTA,none,1,
Southern,22088S,2017,Snake Reef,,MANTA,none,1,9
Southern,22088S,2019,Snake Reef,,MANTA,none,1,9
Southern,22088S,2021,Snake Reef,,MANTA,cots,1,9
Southern,22088S,2022,Snake Reef,,MANTA,cots,1,9
Southern,21562S,2017,Turner Cay,,MANTA,none,1,9
Southern,21562S,2018,Turner Cay,,MANTA,cots,1,9
Southern,21562S,2021,Turner Cay,,MANTA,none,1,9
Southern,21562S,2022,Turner Cay,,MANTA,none,1,9
Southern,21562S,2023,Turner Cay,,MANTA,none,1,
