CODE,DESCRIPTION,FUNCTIONAL GROUP,KEYBOARD SHORTCUT CODE
AB,Abiotic,AB,
ACBX,Acropora branching & bottlebrush,HC,
ACD,Acropora digitate,HC,
ACTO,Acropora tabulate & corymbose,HC,
F_AGA_CEMS,Agariciidae encrusting & submassive,HC,
F_AGA_CF,Agariciidae foliose,HC,
G_AST,Astreopora,HC,
MA_BROWN,Brown Macroalgae,A,
CA,Coralline Algae,A,
F_DEN_CF,Dendrophyllidae foliose,HC,
F_DEN_CMCE,Dendrophyllidae massive & encrusting,HC,
G_ECH_CB,Echinopora branching,HC,
G_ECH_OTH,Echinopora other,HC,
F_EUPH,Euphyllidae,HC,
F_FAV_CEMS,"Faviidae encrusting, massive & sub-massive",HC,
F_FUN_CMR,Fundiidae free-living,HC,
F_FUN_CECF,Fungiidae encrusting & foliose,HC,
G_GON_ALV,Goniopora & Alveopora,HC,
MA_GREEN,Green Macroalgae,A,
G_HYD_CB,Hydnophora branching & Paraclavarina,HC,
G_HYD_OTH,Hydnophora other,HC,
G_ISO_CE,Isopora encrusting,HC,
G_ISO_CS,Isopora sub-massive,HC,
G_ISO_SUB,Isopora sub-massive,HC,
G_MER,Merulina & Scaphophyllia,HC,
F_MIL,Millepora,OT,
G_MON_CEMS,Montipora encrusting,HC,
G_MON_CF,Montipora foliose,HC,
F_MUS,Mussidae,HC,
COR_CBCF,non-Acropora coral branching & foliose,HC,
COR_CE,non-Acropora coral encrusting,HC,
COR_CMCS,non-Acropora coral massive & sub-massive,HC,
F_OCU,Oculinidae,HC,
MA_OTH,other Macroalgae,A,
OT,Other organisms,OT,
F_PEC,Pectiniidae,HC,
S_POC_DAM,Pocillopora damicornis,HC,
G_POC_OT,Pocillopora other,HC,
G_POR_B,Porites branching,HC,
G_POR_CECS,Porites encrusting & sub-massive,HC,
G_POR_M,Porites massive,HC,
S_POR_RUS,Porites rus,HC,
MA_RED,Red Macroalgae,A,
SG,Seagrass,SG,
G_SER,Seriatopora,HC,
F_SID,Siderastreidae,HC,
F_SC_ALC,Soft coral Alcyoniidae,SC,
F_SC_BRI,Soft coral Briareidae & Rhytisma,SC,
F_SC_NEP,Soft coral Neptheidae,SC,
SC_OTH,Soft coral Other,SC,
F_SC_XEN,Soft coral Xeniidae,SC,
SP,Sponges & Ascidians,SP,
G_STY,Stylophora,HC,
TA,Turf algae,A,
ZOA,Zoanthids,OT,
